,Rate,Review,Price,QtyLeft,Sold
0,,,7,494,
1,5,3598,51,483,4785
2,5,1496,143,993,2164
3,,,164,996,
4,5,286,35,983,399
5,5,7210,51,483,10434
6,,,86,988,
7,5,3556,10,490,5129
8,,,164,996,
9,5,1567,143,993,2145
10,,,7,494,
11,5,2651,35,983,3550
12,,,7,494,
13,,,7,494,
14,,,86,988,
15,5,6964,51,483,10231
16,,,7,494,
17,5,10912,51,483,15026
18,5,3908,35,983,5686
19,,,7,494,
20,,,86,988,
21,,,7,494,
22,,,164,996,
23,5,23736,51,483,39067
24,5,4376,10,490,5939
25,5,1877,143,993,2703
26,,,86,988,
27,,,7,494,
28,5,6124,51,483,8903
29,,,164,996,
30,,,7,494,
31,,,164,996,
32,5,11901,51,483,16445
33,,,164,996,
34,5,6152,35,983,8941
35,,,164,996,
36,5,2128,35,983,2924
37,5,18001,51,483,27962
38,5,2427,51,483,3431
39,5,267,10,490,357
40,5,772,143,993,1123
41,5,3505,51,483,4869
42,,,86,988,
43,5,1470,143,993,2089
44,,,86,988,
45,,,86,988,
46,5,2100,10,490,2943
47,,,7,494,
48,5,4722,35,983,6778
49,5,5966,35,983,8562
50,,,164,996,
51,,,86,988,
52,,,7,494,
53,,,86,988,
54,,,7,494,
55,5,2395,51,483,3361
56,5,759,35,983,1098
57,,,86,988,
58,5,10996,51,483,15928
59,,,164,996,
60,,,164,996,
61,5,10540,51,483,15126
62,5,6629,35,983,9217
63,5,25390,51,483,42903
64,4.6,2718,7,53165,3746
65,5,394,51,483,534
66,,,7,494,
67,5,6721,51,483,9236
68,,,86,988,
69,5,3055,35,983,4109
70,5,8665,51,483,12569
71,,,86,988,
72,5,1459,35,983,2041
73,,,7,494,
74,,,7,494,
75,,,164,996,
76,5,2673,10,490,3685
77,5,3775,51,483,5371
78,,,7,494,
79,5,17766,51,483,28389
80,,,86,988,
81,,,7,494,
82,,,7,494,
83,,,164,996,
84,5,3542,10,490,5034
85,5,736,143,993,978
86,5,1501,10,490,2142
87,,,7,494,
88,5,3138,51,483,4352
89,,,7,494,
90,5,17901,51,483,26715
91,5,7610,51,483,10415
92,,,86,988,
93,5,14349,51,483,21368
94,,,86,988,
95,,,86,988,
96,5,2706,35,983,3637
97,,,7,494,
98,5,17254,51,483,26480
99,,,86,988,
100,,,86,988,
101,5,24820,51,483,40525
102,,,7,494,
103,5,784,51,483,1112
104,5,5655,51,483,8058
105,5,1025,143,993,1460
106,5,440,35,983,593
107,5,1616,143,993,2331
108,5,11459,51,483,16770
109,,,7,494,
110,5,272,143,993,389
111,5,4003,51,483,5543
112,,,164,996,
113,5,2009,35,983,2801
114,5,1672,35,983,2419
115,5,28827,51,483,50319
116,5,792,10,490,1127
117,5,4156,10,490,5589
118,5,5105,10,490,7417
119,5,4889,10,490,6997
120,5,452,51,483,622
121,,,7,494,
122,5,1999,51,483,2827
123,5,4986,35,983,6845
124,5,10292,51,483,14851
125,5,24904,51,483,43307
126,5,12449,51,483,18903
127,5,10434,51,483,15042
128,,,7,494,
129,5,3359,10,490,4902
130,5,220,143,993,311
131,,,86,988,
